event_definition;coding_system;code;code_name;concept;concept_name;tags;system;event_abbreviation;type
Maternal outcome: depression;ICD10;F30-F39.9;Mood [affective] disorders;C0525045;Mood Disorders;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30;Manic episode;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30.0;Hypomania;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30.1;Mania without psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30.2;Mania with psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30.8;Other manic episodes;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F30.9;Manic episode, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31;Bipolar affective disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.0;Bipolar affective disorder, current episode hypomanic;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.1;Bipolar affective disorder, current episode manic without psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.2;Bipolar affective disorder, current episode manic with psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.3;Bipolar affective disorder, current episode mild or moderate depression;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.4;Bipolar affective disorder, current episode severe depression without psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.5;Bipolar affective disorder, current episode severe depression with psychotic symptoms;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.6;Bipolar affective disorder, current episode mixed;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.7;Bipolar affective disorder, currently in remission;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.8;Other bipolar affective disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F31.9;Bipolar affective disorder, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32;Depressive episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.0;Mild depressive episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.1;Moderate depressive episode;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.2;Severe depressive episode without psychotic symptoms;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.3;Severe depressive episode with psychotic symptoms;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.8;Other depressive episodes;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F32.9;Depressive episode, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33;Recurrent depressive disorder;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.0;Recurrent depressive disorder, current episode mild;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.1;Recurrent depressive disorder, current episode moderate;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.2;Recurrent depressive disorder, current episode severe without psychotic symptoms;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.3;Recurrent depressive disorder, current episode severe with psychotic symptoms;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.4;Recurrent depressive disorder, currently in remission;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.8;Other recurrent depressive disorders;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F33.9;Recurrent depressive disorder, unspecified;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F34;Persistent mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F34.0;Cyclothymia;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F34.1;Dysthymia;;;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F34.8;Other persistent mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F34.9;Persistent mood [affective] disorder, unspecified;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F38;Other mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F38.0;Other single mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F38.1;Other recurrent mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F38.8;Other specified mood [affective] disorders;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F39;Unspecified mood [affective] disorder;;;Exclude;R;DEPRESSION;
Maternal outcome: depression;ICD10;F41.2;Mixed anxiety and depressive disorder;C0338908;Mixed anxiety and depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10;F92.0;Depressive conduct disorder;C0339017;Depressive conduct disorder;Possible;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F32.9;Depressive disorder NOS;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
Maternal outcome: depression;ICD10CM;F34.1;Depressive neurosis;C0011581;Depressive disorder;Narrow;R;DEPRESSION;
